city,date,weathers
Denver,10/15/20,13
Denver,11/15/20,10
Denver,12/15/20,-2
Pullman,1/15/20,-9
Pullman,2/15/20,2
Pullman,3/15/20,-2
Pullman,4/15/20,8
Pullman,5/15/20,11
Pullman,6/15/20,9
Pullman,7/15/20,22
Pullman,8/15/20,25
Pullman,9/15/20,24
Pullman,10/15/20,8
Pullman,11/15/20,4
Pullman,12/15/20,-1
Winston-Salem,1/15/20,14
Winston-Salem,2/15/20,3
Winston-Salem,3/15/20,8
Winston-Salem,4/15/20,9
Winston-Salem,5/15/20,20
Winston-Salem,6/15/20,15
Winston-Salem,7/15/20,28
Winston-Salem,8/15/20,26
Winston-Salem,9/15/20,20
Winston-Salem,10/15/20,18
Winston-Salem,11/15/20,15
Winston-Salem,12/15/20,4
Fort Collins,1/15/20,-3
Fort Collins,2/15/20,-3
Fort Collins,3/15/20,7
Fort Collins,4/15/20,3
Fort Collins,5/15/20,13
Fort Collins,6/15/20,24
Fort Collins,7/15/20,22
Fort Collins,8/15/20,26
Fort Collins,9/15/20,24
Fort Collins,10/15/20,8
Fort Collins,11/15/20,4
Fort Collins,12/15/20,-4
Troy,1/15/20,0
Troy,2/15/20,-6
Troy,3/15/20,2
Troy,4/15/20,3
Troy,5/15/20,19
Troy,6/15/20,17
Troy,7/15/20,26
Troy,8/15/20,24
Troy,9/15/20,18
Troy,10/15/20,13
Troy,11/15/20,7
Troy,12/15/20,-3
New Orleans,1/15/20,23
New Orleans,2/15/20,13
New Orleans,3/15/20,24
New Orleans,4/15/20,17
New Orleans,5/15/20,26
New Orleans,6/15/20,29
New Orleans,7/15/20,29
New Orleans,8/15/20,30
New Orleans,9/15/20,25
New Orleans,10/15/20,25
New Orleans,11/15/20,22
New Orleans,12/15/20,12
Waltham,1/15/20,7
Waltham,2/15/20,-4
Waltham,3/15/20,3
Waltham,4/15/20,8
Waltham,5/15/20,16
Waltham,6/15/20,19
Waltham,7/15/20,21
Waltham,8/15/20,21
Waltham,9/15/20,18
Waltham,10/15/20,17
Waltham,11/15/20,6
Waltham,12/15/20,-1
Iowa City,1/15/20,-1
Iowa City,2/15/20,-2
Iowa City,3/15/20,3
Iowa City,4/15/20,2
Iowa City,5/15/20,17
Iowa City,6/15/20,17
Iowa City,7/15/20,21
Iowa City,8/15/20,21
Iowa City,9/15/20,20
Iowa City,10/15/20,8
Iowa City,11/15/20,5
Iowa City,12/15/20,-3
Golden,1/15/20,24
Golden,2/15/20,25
Golden,3/15/20,25
Golden,4/15/20,29
Golden,5/15/20,24
Golden,6/15/20,30
Golden,7/15/20,31
Golden,8/15/20,31
Golden,9/15/20,30
Golden,10/15/20,29
Golden,11/15/20,27
Golden,12/15/20,25
Tallahassee,1/15/20,22
Tallahassee,2/15/20,13
Tallahassee,3/15/20,25
Tallahassee,4/15/20,18
Tallahassee,5/15/20,26
